# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.2.0
#@/tick	1444
#@/user_id	fcitx-rime
a 	啊	c=3 d=0.432287 t=1444
dan 	但	c=1 d=0.0564161 t=1444
dan shi 	但是	c=3 d=0.0779686 t=1444
dan shi ke yi 	但是可以	c=1 d=0.110803 t=1444
dao 	到	c=1 d=0.0652193 t=1444
dao zhi 	導致	c=1 d=0.00843808 t=1444
de 	的	c=65 d=8.11622 t=1444
deng 	等	c=2 d=0.136195 t=1444
deng di 	等地	c=1 d=0.158817 t=1444
deng kuan 	等寬	c=2 d=0.0750972 t=1444
di 	滴	c=1 d=0.0808629 t=1444
di er bu 	第二部	c=1 d=0.790571 t=1444
di fang 	地方	c=3 d=0.612078 t=1444
di zhi 	地址	c=1 d=0.00142298 t=1444
dia 	嗲	c=1 d=0.293758 t=1444
dian 	店	c=1 d=0.045502 t=1444
dian 	點	c=1 d=0.562705 t=1444
dian hua 	電話	c=1 d=0.00235786 t=1444
dian shi 	電視	c=1 d=0.00245409 t=1444
dian shi ju 	電視劇	c=9 d=0.0249017 t=1444
dian tu 	點圖	c=1 d=0.00102814 t=1444
dian ying 	電影	c=14 d=0.878237 t=1444
dian zhen 	點陣	c=1 d=0.00101284 t=1444
ding lv 	定律	c=0 d=0.0657047 t=1444
ding yi 	定義	c=1 d=0.024972 t=1444
dong ji 	冬季	c=1 d=0.00402593 t=1444
dong san sheng 	東三省	c=1 d=0.00873865 t=1444
dong tian 	冬天	c=1 d=0.0675424 t=1444
dong xi 	東西	c=1 d=0.0488012 t=1444
dou 	都	c=2 d=0.428249 t=1444
dou ban 	豆瓣	c=4 d=0.00659526 t=1444
dou dou 	兜兜	c=1 d=0.131336 t=1444
dou dou 	痘痘	c=1 d=0.140156 t=1444
duan kou 	端口	c=1 d=0.818731 t=1444
dui 	對	c=2 d=0.455165 t=1444
duo 	多	c=1 d=0.155673 t=1444
duo le 	多了	c=1 d=0.313486 t=1444
duo zhong 	多種	c=1 d=0.0204453 t=1444
e 	額	c=2 d=0.285258 t=1444
er 	而	c=2 d=0.19921 t=1444
er fei 	而非	c=1 d=0.0214936 t=1444
er qie 	而且	c=1 d=0.092089 t=1444
er shi 	而是	c=1 d=0.028297 t=1444
fa ma 	發麻	c=1 d=0.831104 t=1444
fa wen 	發文	c=1 d=0.00210172 t=1444
fa xing 	發行	c=0 d=0.00184074 t=1444
fa xing ban 	發行版	c=1 d=0.0184997 t=1444
fa yang 	發癢	c=1 d=0.0507928 t=1444
fa yin 	發音	c=1 d=0.00198925 t=1444
fa zhan 	發展	c=1 d=0.0101529 t=1444
fa zhan chu 	發展出	c=1 d=0.0184074 t=1444
fan er 	反而	c=1 d=0.0742736 t=1444
fan ju 	范雎	c=1 d=0.00240549 t=1444
fan shi lin 	凡士林	c=6 d=0.668867 t=1444
fan yi 	翻譯	c=1 d=0.00895987 t=1444
fang an 	方案	c=2 d=0.0649594 t=1444
fang fa 	方法	c=2 d=0.0429063 t=1444
fang song ti 	仿宋體	c=1 d=0.0397558 t=1444
fang zhang 	方丈	c=1 d=0.289384 t=1444
fei bo 	菲薄	c=0 d=0.000693246 t=1444
fei bo la qi shu lie 	菲薄拉起數列	c=2 d=0.00728401 t=1444
fei bo la xi shu lie 	菲薄拉稀數列	c=1 d=0.00357068 t=1444
fen bie 	分別	c=1 d=0.386741 t=1444
fen ci 	粉刺	c=1 d=0.136695 t=1444
fen qu 	分區	c=1 d=0.010358 t=1444
fen wei 	分爲	c=1 d=0.0143357 t=1444
feng 	封	c=1 d=0.111359 t=1444
feng 	風	c=1 d=0.00307331 t=1444
feng bi 	封閉	c=1 d=0.13466 t=1444
feng bi xing 	封閉性	c=2 d=0.296195 t=1444
feng huang 	鳳凰	c=0 d=0.00357931 t=1444
feng huang gan you 	鳳凰甘油	c=1 d=0.0359725 t=1444
feng mian 	封面	c=2 d=0.00750788 t=1444
fu hao 	符號	c=1 d=0.343009 t=1444
fu li 	福利	c=1 d=0.524663 t=1444
fu wu duan 	服務端	c=1 d=0.00120654 t=1444
gai cheng 	改成	c=1 d=0.00121866 t=1444
gai nian 	概念	c=2 d=0.0619418 t=1444
gan cui 	乾脆	c=1 d=0.748264 t=1444
gan jue 	感覺	c=1 d=0.0992613 t=1444
gan lie 	乾裂	c=3 d=0.13057 t=1444
gan you 	甘油	c=17 d=1.375 t=1444
gan zao 	乾燥	c=1 d=0.0665368 t=1444
gao 	膏	c=2 d=0.00881551 t=1444
gao ao 	高傲	c=1 d=0.00790705 t=1444
gao deng 	高等	c=1 d=0.540641 t=1444
gao ji 	高級	c=2 d=0.035116 t=1444
gao yuan yuan 	高圓圓	c=1 d=0.00860854 t=1444
ge 	個	c=1 d=0.0259911 t=1444
ge li 	隔離	c=1 d=0.125556 t=1444
ge shi 	格式	c=2 d=0.314991 t=1444
ge zhong 	各種	c=2 d=0.719951 t=1444
gen ju 	根據	c=1 d=0.0284388 t=1444
geng 	更	c=6 d=1.21436 t=1444
