# Rime user dictionary
#@/db_name	luna_pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	290
#@/user_id	Rime-Fcitx
yong hu 	用戶	c=8 d=5.51331 t=290
yong hu ci ku 	用户词库	c=1 d=0.831104 t=290
yong li 	用力	c=1 d=0.501576 t=290
you 	有	c=2 d=1.21316 t=290
yun xing 	運行	c=2 d=1.85215 t=290
zai 	在	c=6 d=3.94791 t=290
zhao bu dao 	找不到	c=1 d=0.970446 t=290
zhe 	這	c=2 d=1.95072 t=290
zhe ge 	這個	c=2 d=1.52139 t=290
zhe shi 	這是	c=1 d=1 t=1
zhe zhong 	這種	c=1 d=0.606531 t=290
zhi 	值	c=2 d=1.97032 t=290
zhi 	指	c=1 d=0.955997 t=290
zhi jian 	之間	c=1 d=0.873716 t=290
zhi qian 	之前	c=1 d=0.869358 t=290
zhong ying 	中英	c=2 d=1.97521 t=290
zhong ying wen 	中英文	c=1 d=0.932394 t=290
zhu yao 	主要	c=1 d=0.522046 t=290
zhu yi 	注意	c=1 d=0.591555 t=290
zhuan cheng 	轉成	c=1 d=0.763379 t=290
